"","uniqueMisreads"
"1","00000001"
"2","00024FEF"
"3","00418333"
"4","10167A81"
"5","1016D1EF"
"6","1016E055"
"7","1016E236"
"8","1016FEB0"
"9","101750E1"
"10","101E8EE9"
"11","101F8018"
"12","103F47BD"
"13","103F4D84"
"14","103F50EA"
"15","103F55E7"
"16","103F5F40"
"17","103F7EE5"
"18","103F92DA"
"19","103F97E2"
"20","103F9BDD"
"21","103FAE0F"
"22","11830030"
"23","1484B1A0"
"24","14894900"
"25","15155295"
"26","1534948A"
"27","15555554"
"28","18B66183"
"29","194814E0"
"30","198E8DBA"
"31","1A27A613"
"32","20419006"
"33","24802A29"
"34","2488A515"
"35","25204525"
"36","25495555"
"37","2554A555"
"38","25552556"
"39","25554A55"
"40","25555495"
"41","25555549"
"42","2555554A"
"43","25555564"
"44","292914A5"
"45","294A5055"
"46","29555554"
"47","2A5544A5"
"48","2A5552A2"
"49","2A55554A"
"50","2A555555"
"51","30367789"
"52","303F0F90"
"53","307EDEDE"
"54","364A7964"
"55","42949529"
"56","44A55050"
"57","450554A5"
"58","45555552"
"59","49505550"
"60","4952952A"
"61","49555555"
"62","4A14A549"
"63","4A152515"
"64","4A152A55"
"65","4A449550"
"66","4A555555"
"67","4DE94A29"
"68","50154A52"
"69","50505485"
"70","52954A55"
"71","52955555"
"72","52A51525"
"73","52A55555"
"74","54891285"
"75","54895552"
"76","54949555"
"77","54955555"
"78","54A55525"
"79","54A55555"
"80","55065554"
"81","5525554A"
"82","55255554"
"83","55295545"
"84","552A4922"
"85","554552A5"
"86","55495555"
"87","554A2912"
"88","554A5555"
"89","55529545"
"90","55529555"
"91","5552A545"
"92","55549525"
"93","55549555"
"94","5554A555"
"95","5554D555"
"96","555514A5"
"97","55551548"
"98","55552495"
"99","55552945"
"100","55552955"
"101","55552A55"
"102","55554295"
"103","55554955"
"104","55554A55"
"105","55555295"
"106","555552A5"
"107","55555495"
"108","555554A5"
"109","555554D5"
"110","55555503"
"111","55555524"
"112","55555525"
"113","55555529"
"114","5555552A"
"115","55555545"
"116","55555549"
"117","5555554A"
"118","55555552"
"119","55555554"
"120","55555555"
"121","5555555A"
"122","6000007A"
"123","6606C353"
"124","66070011"
"125","78902494"
"126","7DE37657"
"127","831B8886"
"128","86204303"
"129","9294A555"
"130","94850522"
"131","94955515"
"132","95128924"
"133","95155555"
"134","95255555"
"135","95294915"
"136","95555555"
"137","97F48974"
"138","97F496D1"
"139","A02951A0"
"140","A4A28A4A"
"141","A5429054"
"142","A5452929"
"143","A54948A2"
"144","A5505515"
"145","A5554045"
"146","A5555555"
"147","B1860180"
"148","D4849505"
"149","DBD7BDEF"
"150","F067E061"
"151","F18061DF"
"152","F4897410"
